,Name,Domain,SCOPE,Type,Rss,NTags
77,The Queanbeyan Age,https://www.queanbeyanagechronicle.com.au/,AU,"CBR,NEWS",https://www.queanbeyanagechronicle.com.au/rss.xml,TQA
78,The Riot ACT,https://the-riotact.com/,AU,CBR,https://the-riotact.com/feed/,TRACT
79,The Style Side Co,thestyleside.net,AU,"CBR,LIFE",https://www.thestyleside.net/feed.xml,TSSC
80,Tourism ACT,https://tourism.act.gov.au/,AU,"CBR,GOV",https://tourism.act.gov.au/feed,TACT
81,Travel and Beyond,https://travelandbeyond.org/blog/,AU,"CBR,LIFE",https://travelandbeyond.org/feed,TB
82,University House,http://unihouse.anu.edu.au/,AU,"CBR,EDU",http://unihouse.anu.edu.au/feed/,UH
83,Who Shoots,https://www.whoshoots.com/,AU,"CBR,LIFE",https://www.whoshoots.com/feed,WS
84,Woodlands and Wetlands Trust,https://woodlandsandwetlands.org.au/,AU,CBR,https://woodlandsandwetlands.org.au/feed/,WWT
85,Woroni,https://www.woroni.com.au/,AU,"CBR,EDU",https://www.woroni.com.au/feed/,Woroni
86,Young Music Society,http://youngmusicsociety.org.au/,AU,"CBR,MUSIC",http://youngmusicsociety.org.au/feed/,YMS
87,University of Canberra,http://www.canberra.edu.au/about-uc/media/newsroom,AU,"CBR,EDU",http://www.canberra.edu.au/config/monitor-landing-page-assets/rss-feeds,UC
